Tier,Industry,Business,City,Address,Phone,Website,Hiring,Open Position,Salary,Sales Note
Tier 1,Orthopedics/Medical,Orthopaedic Institute of Ohio,Lima OH,801 Medical Drive Suite A Lima OH 45804,(419) 222-6622,orthoohio.com,YES,Appointment Scheduler,,24 doctors - 200+ staff - HIGH call volume
Tier 1,Chiropractic,Rabe Chiropractic,Lima OH,3075 W Elm St Lima OH 45805,(419) 224-5678,rabefamilychiropractic.com,YES,Part-time Receptionist,,Need part-time coverage - AI covers the rest 24/7
Tier 1,Chiropractic,Integrity Chiropractic & Wellness,Findlay OH,2113 Tiffin Ave Ste 101 Findlay OH 45840,(419) 424-0100,ihcare.com,YES,Chiropractic Assistant/Reception,$18-$20/hr,Paying $37K-$41K/year for receptionist - AI saves significantly
Tier 1,Law Firm,Mielke Law Office,St. Marys OH,425 East Spring Street St. Marys OH 45885,(419) 300-8585,mielkelaw.com,YES,Receptionist/Admin,,Small firm - AI handles calls and schedules consultations
Tier 1,Veterinary,Diamond M Veterinary Clinic,Kenton OH,13450 State Route 292 Kenton OH 43326,(419) 673-0426,diamondmvetclinic.com,YES,Part/Full-time Receptionist,,High call volume - AI handles without fatigue
Tier 1,Insurance,Bryan Weimerskirch - State Farm,Delphos OH,201 N Main St Delphos OH 45833,(419) 692-1626,sfagentbryan.com,YES,Receptionist,,Insurance agency - needs appointment and communication management
Tier 1,Audiology/Medical,The Hearing & Balance Center,Lima OH,545 West Market Street Suite #333 Lima OH 45801,(419) 222-9010,limahearingandbalance.com,YES,Front Desk,,Senior patients who prefer calling by phone
Tier 1,Urology/Medical,Crossroads Urology,Lima OH,2751 Fort Amanda Rd Lima OH 45805,(567) 529-9000,crossroadsurology.com,YES,Office Worker,,New growing specialty practice - ideal for AI from the start
Tier 1,Dental/Community Health,Health Partners of Western Ohio,Lima OH,441 East 8th Street Lima OH 45804,(419) 221-3072,hpwohio.org,YES,Dental Receptionist,$17.50/hr,Community center with multiple locations - scalable AI potential
Tier 1,Auto Repair/Collision,Autobahn Collision Center,Wapakoneta OH,851 Industrial Drive Wapakoneta OH 45895,(419) 738-8772,autobahncollisioncenter.com,YES,Receptionist/Admin,,Family shop - AI handles insurance calls and scheduling
Tier 1,Hospital System,Lima Memorial Health System,Lima OH and Wapakoneta OH,,,limamemorial.org,YES,Receptionist OB/GYN - ENT - Phone Room Scheduler,,Multiple positions - enterprise contract potential
Tier 1,OB/GYN,Blanchard Valley OB/GYN,Findlay OH,,,,YES,Secretary/Receptionist,,OB/GYN offices receive high volume scheduling calls
Tier 1,Healthcare,NOMS Healthcare,Findlay OH,,,,YES,Medical Secretary,,Prefer experience in healthcare reception
Tier 1,Dental,Affordable Dentures & Implants,Lima OH,1951 Bellefontaine Rd Lima OH 45804,(419) 228-6680,affordabledentures.com,YES,Dental Front Office Assistant,,Experience with Dentrix and insurance billing
Tier 1,Government/Social Services,Hancock County Job and Family Services,Findlay OH,,,,YES,Receptionist,,Government - stable contract potential
Tier 1,Community Health,Family Resource Center of NW Ohio,Lima OH,,(419) 222-1168,frcohio.com,YES,Medical Front Desk,,Family resource center
Tier 1,Medical,First Care Medical,Lima OH,,,,YES,Medical Receptionist,,Local medical clinic
Tier 2,Dental,Burns Dental Inc. (Dr. Alyson K. Amerson),Lima OH,459 S. Main St. Lima OH 45805,(419) 228-5502,burnsdentalinc.com,NO,,,Independent dental office
Tier 2,Dental,Whole Health Dentistry,Lima OH,,(419) 228-2233,wholehealthdentistry.com,NO,,,Independent dental office
Tier 2,Dental,Lima Community Dental,Lima OH,,(419) 741-9903,limacommunitydental.com,NO,,,Community dental office
Tier 2,Dental,Pure Smiles - Lima,Lima OH,,(419) 863-5483,puresmiles.com/lima,NO,,,Dental chain
Tier 2,Dental,Dr. Jon Stocker DDS,Lima OH,,(419) 222-8856,jonstockerdds.com,NO,,,Independent practice
Tier 2,Dental,Dan G. Wilker DDS,Lima OH,,,danwilkerdds.com,NO,,,Independent practice
Tier 2,Dental,Michael D. Terveer DDS,Lima OH,,,drterveerdds.com,NO,,,Independent practice
Tier 2,Dental,Aspen Dental - Lima,Lima OH,3292 Elida Rd Lima OH 45805,(419) 228-5000,aspendental.com,NO,,,National chain
Tier 2,Dental,DeClerck Family Dental,Findlay OH,,(419) 422-8972,declerckfamilydental.com,NO,,,Family dental practice
Tier 2,Dental,Mutchler & Lewis Family Dental Care,Findlay OH,,,findlaydentalteam.com,NO,,,Family dental practice
Tier 2,Dental,Phillips Dental Care Center,Findlay OH,,,phillipsdentalcc.com,NO,,,2 locations
Tier 2,Dental,Anderson Family Dentist,Findlay OH,,(419) 427-1500,andersondentalfindlay.com,NO,,,Family dental practice
Tier 2,Dental,Pure Smiles - Findlay,Findlay OH,,(419) 664-3283,puresmiles.com/findlay,NO,,,Dental chain
Tier 2,Chiropractic,Gillis Chiropractic Clinic,Lima OH,,(419) 228-0000,gillischiropractic.com,NO,,,3 locations - multi-site potential
Tier 2,Chiropractic,Emergency Care Chiropractic of Lima,Lima OH,,(419) 296-6804,emergencycarechirolima.com,NO,,,Walk-in - after hours care
Tier 2,Chiropractic,Stemen Chiropractic Clinic,Lima OH,,(419) 227-8700,stemenchiro.com,NO,,,Chiropractic office
Tier 2,Chiropractic,Feltz Chiropractic,Lima OH,,(419) 222-4000,feltzchiropractic.com,NO,,,Chiropractic office
Tier 2,Chiropractic,Wilcox Family Chiropractic,Lima OH,,(419) 229-2225,wilcoxfamchiropractic.com,NO,,,Family chiropractic office
