Industry	Business	City	Address	Phone	Website	Open Position	Salary	Sales Note
Orthopedics/Medical	Orthopaedic Institute of Ohio	Lima OH	801 Medical Drive Suite A Lima OH 45804	(419) 222-6622	orthoohio.com	Appointment Scheduler		24 doctors - 200+ staff - HIGH call volume
Chiropractic	Rabe Chiropractic	Lima OH	3075 W Elm St Lima OH 45805	(419) 224-5678	rabefamilychiropractic.com	Part-time Receptionist		Need part-time coverage - AI covers the rest 24/7
Chiropractic	Integrity Chiropractic & Wellness	Findlay OH	2113 Tiffin Ave Ste 101 Findlay OH 45840	(419) 424-0100	ihcare.com	Chiropractic Assistant/Reception	$18-$20/hr	Paying $37K-$41K/year for receptionist - AI saves significantly
Law Firm	Mielke Law Office	St. Marys OH	425 East Spring Street St. Marys OH 45885	(419) 300-8585	mielkelaw.com	Receptionist/Admin		Small firm - AI handles calls and schedules consultations
Veterinary	Diamond M Veterinary Clinic	Kenton OH	13450 State Route 292 Kenton OH 43326	(419) 673-0426	diamondmvetclinic.com	Part/Full-time Receptionist		High call volume - AI handles without fatigue
Insurance	Bryan Weimerskirch - State Farm	Delphos OH	201 N Main St Delphos OH 45833	(419) 692-1626	sfagentbryan.com	Receptionist		Insurance agency - needs appointment and communication management
Audiology/Medical	The Hearing & Balance Center	Lima OH	545 West Market Street Suite #333 Lima OH 45801	(419) 222-9010	limahearingandbalance.com	Front Desk		Senior patients who prefer calling by phone
Urology/Medical	Crossroads Urology	Lima OH	2751 Fort Amanda Rd Lima OH 45805	(567) 529-9000	crossroadsurology.com	Office Worker		New growing specialty practice - ideal for AI from the start
Dental/Community Health	Health Partners of Western Ohio	Lima OH	441 East 8th Street Lima OH 45804	(419) 221-3072	hpwohio.org	Dental Receptionist	$17.50/hr	Community center with multiple locations - scalable AI potential
Auto Repair/Collision	Autobahn Collision Center	Wapakoneta OH	851 Industrial Drive Wapakoneta OH 45895	(419) 738-8772	autobahncollisioncenter.com	Receptionist/Admin		Family shop - AI handles insurance calls and scheduling
Hospital System	Lima Memorial Health System	Lima OH and Wapakoneta OH			limamemorial.org	Receptionist OB/GYN - ENT - Phone Room Scheduler		Multiple positions - enterprise contract potential
OB/GYN	Blanchard Valley OB/GYN	Findlay OH				Secretary/Receptionist		OB/GYN offices receive high volume scheduling calls
Healthcare	NOMS Healthcare	Findlay OH				Medical Secretary		Prefer experience in healthcare reception
Dental	Affordable Dentures & Implants	Lima OH	1951 Bellefontaine Rd Lima OH 45804	(419) 228-6680	affordabledentures.com	Dental Front Office Assistant		Experience with Dentrix and insurance billing
Government/Social Services	Hancock County Job and Family Services	Findlay OH				Receptionist		Government - stable contract potential
Community Health	Family Resource Center of NW Ohio	Lima OH		(419) 222-1168	frcohio.com	Medical Front Desk		Family resource center
Medical	First Care Medical	Lima OH				Medical Receptionist		Local medical clinic
